timestamp,open,high,low,close,volume
1420497300000,1.19295,1.19295,1.19268,1.19276,186.28
1420497600000,1.19278,1.19319,1.19277,1.19313,308.44
1420497900000,1.19314,1.19339,1.19296,1.19298,273.89
1420498200000,1.19299,1.19335,1.19299,1.19324,264.12
1420498500000,1.19324,1.19332,1.19322,1.19327,355.26
1420498800000,1.19324,1.19341,1.19321,1.19331,254.8
1420499100000,1.19329,1.19329,1.19313,1.19315,231.63
1420499400000,1.19315,1.19342,1.19315,1.19337,162.97
1420499700000,1.19337,1.19346,1.19336,1.19336,119.66
1420500000000,1.19336,1.19345,1.19336,1.1934,102.25
1420500300000,1.19342,1.1938,1.19342,1.19372,118.02
1420500600000,1.19374,1.19374,1.19351,1.19351,112.44
1420500900000,1.19352,1.19389,1.1935,1.19389,197.63
1420501200000,1.19389,1.19409,1.19385,1.19397,276.09
1420501500000,1.19397,1.19397,1.19369,1.19373,116.89
1420501800000,1.19372,1.19375,1.19362,1.1937,144.91
1420502100000,1.19371,1.19377,1.19369,1.19374,83
1420502400000,1.19374,1.19388,1.19369,1.19383,148.51
1420502700000,1.19382,1.19388,1.19375,1.1938,134.75
1420503000000,1.19381,1.19393,1.19361,1.1937,219.03
1420503300000,1.19368,1.19394,1.19367,1.1939,212.69
1420503600000,1.19388,1.19388,1.19375,1.19378,170.68
1420503900000,1.19378,1.19378,1.19353,1.19355,176.36
1420504200000,1.19356,1.1937,1.19355,1.19366,427.1
1420504500000,1.19368,1.19378,1.19362,1.19375,358.32
1420504800000,1.19376,1.19379,1.1934,1.19356,513.34
1420505100000,1.19356,1.19377,1.19356,1.19376,443.35
1420505400000,1.19377,1.19397,1.1937,1.19391,358.87
1420505700000,1.19394,1.19433,1.19384,1.19431,558.54
1420506000000,1.19431,1.19433,1.19408,1.19428,290.42
1420506300000,1.19428,1.19464,1.19409,1.19409,397.21
1420506600000,1.19411,1.19424,1.19411,1.19416,142.1
1420506900000,1.19416,1.19437,1.19411,1.19432,130.53
1420507200000,1.19432,1.19432,1.194,1.19418,280.91
1420507500000,1.19417,1.19417,1.19396,1.19396,198.7
1420507800000,1.19397,1.19404,1.1939,1.19402,147.11
1420508100000,1.19402,1.19403,1.19381,1.19383,165.6
1420508400000,1.19382,1.19385,1.1938,1.19384,175.44
1420508700000,1.19385,1.19391,1.19362,1.19362,219.49
1420509000000,1.19362,1.19417,1.19362,1.19416,362
1420509300000,1.19415,1.19431,1.19409,1.19409,337.48
1420509600000,1.19409,1.19429,1.19409,1.19411,228.1
1420509900000,1.19412,1.19452,1.19412,1.19447,184.48
1420510200000,1.19448,1.19483,1.19446,1.19481,249.13
1420510500000,1.1948,1.19487,1.1945,1.1945,205.62
1420510800000,1.1945,1.19476,1.19449,1.19471,140.51
1420511100000,1.19472,1.19481,1.19471,1.19476,165.99
1420511400000,1.19475,1.19497,1.19471,1.19496,352.47
1420511700000,1.19496,1.19501,1.1947,1.19501,591.37
1420512000000,1.195,1.19549,1.19499,1.1953,375.2
1420512300000,1.19532,1.1954,1.19522,1.19528,260.21
1420512600000,1.19528,1.1953,1.19475,1.19501,386.81
1420512900000,1.19501,1.19501,1.19459,1.1946,210.52
1420513200000,1.1946,1.19496,1.19457,1.1948,313.8
1420513500000,1.1948,1.19486,1.1947,1.19482,175.34
1420513800000,1.19481,1.19481,1.1946,1.19461,221.35
1420514100000,1.1946,1.19465,1.19456,1.19457,219.81
1420514400000,1.19458,1.19475,1.19455,1.19471,165.69
1420514700000,1.19472,1.19474,1.19465,1.19465,130.46
1420515000000,1.19465,1.19467,1.19406,1.19416,342.69
1420515300000,1.19416,1.19428,1.19416,1.19425,218.93
1420515600000,1.19425,1.19441,1.19425,1.19441,162.09
1420515900000,1.19442,1.19454,1.19431,1.19452,287.88
1420516200000,1.19455,1.19457,1.19417,1.19431,301.24
1420516500000,1.19431,1.19441,1.1942,1.19441,217.94
1420516800000,1.19443,1.19443,1.19432,1.19435,174.67
1420517100000,1.19436,1.1944,1.19426,1.19431,251.42
1420517400000,1.19432,1.19445,1.19431,1.19439,292.47
1420517700000,1.1944,1.19443,1.19427,1.19441,266.74
1420518000000,1.19441,1.19478,1.19435,1.19435,256.82
1420518300000,1.19436,1.1947,1.19436,1.1946,173.73
1420518600000,1.1946,1.19476,1.19456,1.19472,144.62
1420518900000,1.19472,1.19479,1.19463,1.19473,282.12
1420519200000,1.19471,1.19491,1.1947,1.19491,240.76
1420519500000,1.1949,1.19491,1.19467,1.19467,189.25
1420519800000,1.19467,1.19477,1.19451,1.19476,225.22
1420520100000,1.19476,1.19506,1.19473,1.19488,229.28
1420520400000,1.19489,1.19496,1.19469,1.19476,319.43
1420520700000,1.19476,1.19478,1.1947,1.19476,129.8
1420521000000,1.19476,1.19502,1.1947,1.195,179.25
1420521300000,1.19501,1.19532,1.19499,1.1953,267.95
1420521600000,1.19527,1.19541,1.19518,1.19522,376.15
1420521900000,1.19522,1.19566,1.19516,1.19556,453.08
1420522200000,1.19556,1.19573,1.19541,1.19573,473.29
1420522500000,1.19572,1.19578,1.19552,1.1956,341.08
1420522800000,1.1956,1.19584,1.19559,1.19562,352.4
1420523100000,1.19562,1.19567,1.19538,1.19547,448.36
1420523400000,1.19547,1.1958,1.19543,1.19565,407.54
1420523700000,1.19565,1.19574,1.19551,1.19572,526.96
1420524000000,1.19572,1.1959,1.19551,1.19552,464.25
1420524300000,1.19552,1.19568,1.19531,1.19531,387.5
1420524600000,1.19532,1.19564,1.19531,1.19563,313.77
1420524900000,1.19562,1.19593,1.1956,1.19593,414.94
1420525200000,1.19592,1.19592,1.1957,1.1957,310.95
1420525500000,1.1957,1.19579,1.19568,1.19579,312.67
1420525800000,1.19579,1.1958,1.1957,1.19578,331.82
1420526100000,1.19579,1.19627,1.19578,1.19626,387.66
1420526400000,1.19626,1.19669,1.19623,1.19653,792.27
1420526700000,1.19652,1.19687,1.19651,1.19667,676.86
1420527000000,1.19667,1.19668,1.19606,1.19607,358.45
1420527300000,1.19607,1.19623,1.19596,1.196,458.47
1420527600000,1.19601,1.19623,1.1959,1.19604,663.73
1420527900000,1.19604,1.19621,1.19588,1.19601,539.51
1420528200000,1.19601,1.19618,1.19597,1.19601,495.5
1420528500000,1.19601,1.19609,1.19532,1.19532,711.48
1420528800000,1.1953,1.19573,1.19508,1.19571,627.85
1420529100000,1.1957,1.1957,1.19501,1.19543,985.85
1420529400000,1.19543,1.19566,1.19532,1.1955,660.65
1420529700000,1.19549,1.19561,1.19535,1.19558,435.14
1420530000000,1.19558,1.19558,1.19526,1.19536,647.85
1420530300000,1.19536,1.19542,1.1951,1.19512,602.9
1420530600000,1.1951,1.19551,1.19442,1.19447,1100.39
1420530900000,1.19445,1.19459,1.19416,1.19423,547.46
1420531200000,1.19422,1.1944,1.19335,1.19346,1087.6
1420531500000,1.19346,1.19387,1.19335,1.19335,1012.06
1420531800000,1.19335,1.19382,1.19331,1.19382,792.34
1420532100000,1.19383,1.19404,1.19328,1.19344,767.49
1420532400000,1.19343,1.19343,1.1929,1.19323,786.27
1420532700000,1.19323,1.19324,1.19246,1.19267,1000.66
1420533000000,1.19267,1.19278,1.19231,1.19248,803.29
1420533300000,1.19247,1.19322,1.1922,1.19294,1063.03
1420533600000,1.19295,1.19327,1.19293,1.19304,702.83
1420533900000,1.19304,1.19306,1.19229,1.19297,928.03
1420534200000,1.19298,1.19485,1.19286,1.19485,1286.14
1420534500000,1.19485,1.19524,1.19426,1.19448,1423.44
1420534800000,1.19449,1.19464,1.19327,1.1937,1225.32
1420535100000,1.1937,1.19435,1.19353,1.19379,863.88
1420535400000,1.1938,1.19433,1.19369,1.19391,648.3
1420535700000,1.19391,1.19407,1.19328,1.19328,810.5
1420536000000,1.19329,1.19335,1.19246,1.19304,1153.15
1420536300000,1.19301,1.19306,1.19202,1.19231,870.87
1420536600000,1.1923,1.1928,1.19191,1.192,1199.54
1420536900000,1.19201,1.19219,1.19148,1.19217,967.21
1420537200000,1.19216,1.19225,1.1912,1.1912,1047.64
1420537500000,1.19118,1.19168,1.19104,1.19138,648.7
1420537800000,1.19138,1.19152,1.19117,1.19128,593.87
1420538100000,1.19129,1.19129,1.1905,1.19079,841.11
1420538400000,1.19079,1.19109,1.19067,1.19073,681.52
1420538700000,1.19074,1.19085,1.19045,1.19045,607.38
1420539000000,1.19044,1.19109,1.19044,1.19089,813.33
1420539300000,1.19082,1.19118,1.1907,1.19117,533.92
1420539600000,1.19116,1.19145,1.18999,1.19006,985.95
1420539900000,1.19006,1.19036,1.1899,1.19012,870.82
1420540200000,1.19011,1.19062,1.18996,1.19036,654.47
1420540500000,1.19035,1.1906,1.1899,1.1899,558.44
1420540800000,1.1899,1.1902,1.18964,1.18971,849.07
1420541100000,1.18966,1.19027,1.18961,1.19,762.65
1420541400000,1.19,1.19021,1.18976,1.19006,791.58
1420541700000,1.19002,1.19017,1.18955,1.18982,660.34
1420542000000,1.1898,1.19122,1.1898,1.19122,712.67
1420542300000,1.19123,1.19195,1.19088,1.19161,1060.76
1420542600000,1.19159,1.19159,1.19045,1.19049,743.88
1420542900000,1.19046,1.19053,1.18898,1.18936,1094.25
1420543200000,1.18935,1.18946,1.18878,1.18932,1048.37
1420543500000,1.1893,1.18976,1.18919,1.18967,721.85
1420543800000,1.18968,1.18993,1.18953,1.18953,571.02
1420544100000,1.18952,1.18971,1.18924,1.18963,553.15
1420544400000,1.18964,1.1906,1.18959,1.19022,601.15
1420544700000,1.19021,1.19027,1.19,1.19018,583.62
1420545000000,1.19019,1.19019,1.18936,1.18949,715.47
1420545300000,1.1895,1.18967,1.18911,1.18913,575.89
1420545600000,1.18915,1.18985,1.18888,1.18942,940.27
1420545900000,1.18941,1.1897,1.18915,1.18936,715.91
1420546200000,1.18936,1.18959,1.18885,1.18935,734.16
1420546500000,1.18935,1.18962,1.18896,1.18917,685.87
1420546800000,1.18916,1.18922,1.18842,1.18889,863.93
1420547100000,1.18889,1.1893,1.18848,1.18916,832.39
1420547400000,1.18916,1.1894,1.18916,1.1894,458.65
1420547700000,1.1894,1.18953,1.18925,1.18931,634.78
1420548000000,1.18938,1.1895,1.18915,1.18918,567.69
1420548300000,1.18918,1.1896,1.18912,1.18956,723.87
1420548600000,1.18957,1.19026,1.18956,1.19026,829.21
1420548900000,1.19028,1.19107,1.19025,1.19069,929.38
1420549200000,1.1907,1.19117,1.19021,1.19115,912.34
1420549500000,1.19114,1.19143,1.19077,1.19096,1033.82
1420549800000,1.19096,1.19146,1.19068,1.19135,963.93
1420550100000,1.19134,1.1916,1.19086,1.19088,897.74
1420550400000,1.19088,1.19092,1.1901,1.19016,1076.97
1420550700000,1.19016,1.19042,1.18967,1.19042,914.26
1420551000000,1.1904,1.19081,1.19029,1.1906,976.39
1420551300000,1.19061,1.19076,1.19026,1.19039,809.18
1420551600000,1.19038,1.19041,1.18955,1.1896,965.98
1420551900000,1.18959,1.19083,1.18959,1.19072,740.88
1420552200000,1.19071,1.19122,1.1906,1.19101,827.58
1420552500000,1.19101,1.19101,1.19027,1.19075,930.08
1420552800000,1.19076,1.19091,1.1903,1.19035,818.36
1420553100000,1.19035,1.1905,1.18976,1.18992,1126.75
1420553400000,1.18993,1.19,1.18915,1.18926,1163.62
1420553700000,1.18927,1.18954,1.18874,1.18891,941
1420554000000,1.18889,1.18947,1.18881,1.18942,759.75
1420554300000,1.18942,1.18962,1.18939,1.18949,540.9
1420554600000,1.18949,1.1898,1.18944,1.18952,1002.62
1420554900000,1.18951,1.18963,1.18893,1.18957,842.94
1420555200000,1.18955,1.18991,1.18937,1.1896,912.19
1420555500000,1.1896,1.1906,1.18959,1.19044,795.27
1420555800000,1.19044,1.19063,1.19011,1.1902,905.23
1420556100000,1.19019,1.19076,1.18993,1.19049,943.08
1420556400000,1.19055,1.1925,1.19055,1.19149,1981.47
1420556700000,1.19149,1.19279,1.19139,1.19272,1270.97
1420557000000,1.19272,1.19334,1.19229,1.19243,1605.39
1420557300000,1.19243,1.19249,1.19133,1.19172,1408.56
1420557600000,1.19173,1.19183,1.19107,1.19119,1063.45
1420557900000,1.19119,1.1913,1.19079,1.19125,912.28
1420558200000,1.19127,1.19128,1.19076,1.19107,1064.59
1420558500000,1.19107,1.19181,1.19091,1.1914,1130.61
1420558800000,1.19141,1.19142,1.19078,1.19135,1111.27
1420559100000,1.19134,1.19188,1.19111,1.1917,1030.69
1420559400000,1.19171,1.19171,1.191,1.1912,921.19
1420559700000,1.19121,1.19203,1.19115,1.1919,1080.72
1420560000000,1.19189,1.19232,1.19161,1.19214,1416.26
1420560300000,1.19214,1.19246,1.19197,1.1921,1008.05
1420560600000,1.19211,1.19245,1.19207,1.19233,828.72
1420560900000,1.19233,1.19255,1.19206,1.19213,797.54
1420561200000,1.19213,1.19238,1.19166,1.19217,860.27
1420561500000,1.19217,1.19278,1.19217,1.19259,972.81
1420561800000,1.19261,1.19281,1.19201,1.19263,1314.41
1420562100000,1.19261,1.19308,1.19243,1.19271,1360.82
1420562400000,1.19271,1.19389,1.19253,1.19385,1237.39
1420562700000,1.19385,1.19391,1.1934,1.19341,1037.54
1420563000000,1.19341,1.19399,1.19271,1.19393,1017.52
1420563300000,1.19393,1.19402,1.19331,1.19371,1226.04
